date,ACM1,ACM0
Thu Mar  4 11:14:10 2021,    pH:6.73 ,    pH:6.38 
Thu Mar  4 11:19:12 2021,    pH:6.79 ,    pH:6.40 
Thu Mar  4 11:24:14 2021,    pH:6.79 ,    pH:6.44 
Thu Mar  4 11:27:07 2021,    pH:6.75 ,    pH:6.42 
Thu Mar  4 11:27:39 2021,    pH:6.73 ,    pH:6.41 
Thu Mar  4 11:28:45 2021,    pH:6.74 ,    pH:6.40 
Thu Mar  4 11:29:17 2021,    pH:6.70 ,    pH:6.41 
Thu Mar  4 11:29:49 2021,    pH:6.75 ,    pH:6.43 
Thu Mar  4 11:31:21 2021,    pH:6.75 ,    pH:6.41 
Thu Mar  4 11:32:30 2021,    pH:6.72 ,    pH:6.45 
Thu Mar  4 11:33:02 2021,    pH:6.73 ,    pH:6.43 
Thu Mar  4 11:33:34 2021,    pH:6.74 ,    pH:6.40 
Thu Mar  4 11:34:05 2021,    pH:6.74 ,    pH:6.45 
Thu Mar  4 11:34:37 2021,    pH:6.77 ,    pH:6.40 
